Date,Open,High,Low,Close,Volume
2025-04-22,470.29,471.14,467.62,469.05,76737992
2025-04-23,468.51,469.98,465.95,467.68,84702408
2025-04-24,467.68,468.94,465.96,467.27,42730812
2025-04-25,467.28,468.01,465.86,467.88,85259218
2025-04-28,468.16,468.39,467.06,467.78,89450628
2025-04-29,467.54,470.03,466.9,468.59,59152188
2025-04-30,468.44,472.05,468.1,470.59,70453660
2025-05-01,469.91,472.91,469.06,471.23,87473224
2025-05-02,470.48,470.66,467.33,468.58,61353856
2025-05-05,467.48,469.0,466.82,467.95,53746247
2025-05-06,468.2,469.27,466.45,466.56,63247661
2025-05-07,467.26,471.41,465.53,469.62,77733023
2025-05-08,469.92,470.83,468.71,469.15,43732348
2025-05-09,469.03,470.8,466.79,467.1,21908614
2025-05-12,467.31,469.7,467.03,468.8,31025140
2025-05-13,468.6,471.91,468.49,470.9,36953261
2025-05-14,471.17,472.83,469.99,471.16,70597797
2025-05-15,471.75,473.26,469.12,470.3,48379720
2025-05-16,470.46,471.46,467.31,469.02,51869811
2025-05-19,469.11,470.92,468.91,469.42,67562004
2025-05-20,469.92,473.01,468.88,471.56,92164432
2025-05-21,470.43,471.54,468.67,468.97,90917217
2025-05-22,468.23,469.11,465.99,467.66,84962740
2025-05-23,467.29,467.7,464.72,466.36,70641837
2025-05-26,467.32,470.18,466.2,468.75,36163395
2025-05-27,468.36,469.57,466.69,466.91,16565530
2025-05-28,467.13,468.68,465.96,466.55,26364579
2025-05-29,467.73,468.14,465.56,466.2,59168186
2025-05-30,467.16,468.93,463.96,465.01,19036229
2025-06-02,465.56,465.9,463.98,465.02,34662590
2025-06-03,465.43,468.63,465.14,468.1,76423000
2025-06-04,468.73,472.09,467.51,470.44,59174509
2025-06-05,470.92,472.63,468.11,469.72,94466091
2025-06-06,469.83,472.59,468.22,471.73,92780977
2025-06-09,471.4,472.82,469.82,472.17,29897627
2025-06-10,471.85,474.79,470.42,473.32,70212496
2025-06-11,473.31,475.75,472.0,474.22,48844445
2025-06-12,473.89,475.24,470.94,471.85,40586608
2025-06-13,470.95,472.35,469.6,471.96,22543439
2025-06-16,472.21,472.48,470.39,471.86,90480918
2025-06-17,472.77,476.63,471.09,475.47,72157566
2025-06-18,474.36,476.59,473.78,475.75,39804665
2025-06-19,476.37,477.34,473.37,474.59,64316098
2025-06-20,474.46,475.27,473.2,474.12,93615856
2025-06-23,472.95,474.62,471.03,472.61,41194986
2025-06-24,472.27,473.69,471.79,473.22,46823794
2025-06-25,473.59,474.97,470.07,471.75,43241545
2025-06-26,471.44,472.95,469.1,470.73,47466214
2025-06-27,469.63,469.97,466.32,467.44,20836223
2025-06-30,466.38,467.54,465.53,465.67,82969538
2025-07-01,466.29,467.34,465.45,465.62,58937888
2025-07-02,464.86,467.41,463.72,465.95,58119230
2025-07-03,466.4,467.86,464.96,467.35,83087628
2025-07-04,467.81,470.15,466.25,469.25,67173696
2025-07-07,469.29,470.06,468.61,468.76,59877706
2025-07-08,469.84,473.15,469.61,471.89,46036469
2025-07-09,471.11,472.17,468.73,469.12,59028669
2025-07-10,470.01,471.7,468.37,470.38,35042044
2025-07-11,470.86,472.49,468.17,469.94,65195763
2025-07-14,470.19,471.69,468.48,469.64,21787613
2025-07-15,470.81,471.65,468.97,470.04,55761092
2025-07-16,469.24,470.19,466.24,468.03,44701320
2025-07-17,467.25,468.84,466.88,468.62,25409315
2025-07-18,468.71,470.12,466.33,467.93,64903490
2025-07-21,468.16,471.5,467.15,470.22,85806096
2025-07-22,470.9,471.25,468.77,468.97,16896550
2025-07-23,469.0,469.79,465.26,467.06,21011310
2025-07-24,468.26,469.04,466.09,467.7,59238502
2025-07-25,468.62,472.61,468.47,471.19,91897337
2025-07-28,470.49,472.47,470.0,470.88,23508724
2025-07-29,472.02,474.46,471.16,473.45,13835227
2025-07-30,474.56,477.14,472.88,475.39,27328426
2025-07-31,475.18,476.82,475.02,476.1,84056342
2025-08-01,475.11,477.88,473.68,476.27,38336266
2025-08-04,476.29,478.32,475.45,478.18,49043983
2025-08-05,478.97,480.34,476.87,477.97,52908031
2025-08-06,477.41,478.77,476.03,477.65,34458490
2025-08-07,476.68,478.41,475.08,477.09,59065516
2025-08-08,476.32,479.22,475.45,479.09,89335411
2025-08-11,479.03,482.7,478.55,481.06,37244760
